account_id,ship_id,battles,wins,survived_battles,damage_dealt,frags,xp
1041178625,4279154384,1,1,1,96078,6,2266
1041178625,4292753392,2,1,1,46346,4,1862
1041178625,4292786160,1,0,0,44477,4,1052
1041178625,4258182864,3,1,0,57739,3,2331
1041178625,3768465392,1,0,0,0,0,159
1061138436,4292786160,2,0,0,16930,0,551
1047136261,4292786160,1,0,0,1495,0,244
1047136261,4290689008,1,0,0,29178,3,964
1023076362,4292785968,4,3,2,65887,3,2175
1023076362,4186879792,2,0,0,53930,2,1110
1023076362,4186912560,4,2,1,149421,6,1873
1033613324,4292786160,5,5,3,70271,4,3548
1033613324,4290689008,2,1,1,43952,3,1071
1007106060,4293834544,4,1,1,28760,5,1554
1007106060,4293834736,10,4,4,98082,15,5721
1007106060,4188976336,2,2,1,10475,2,897
1007106060,4188977104,2,0,0,22194,4,1044
1032056849,4289640432,22,19,9,990452,32,26270
1032056849,4290754544,1,0,0,14622,0,76
1032056849,4290721776,12,7,3,622370,17,11551
1032056849,4292786160,5,3,3,52842,3,1686
1032056849,4293834736,1,0,0,15347,3,641
1032056849,4186846416,7,5,3,165294,12,4745
1032056849,4078876656,19,9,7,567502,18,18167
1032056849,4258182864,1,0,0,8842,0,185
1032056849,4187894992,3,1,0,115972,13,2284
1032056849,4187928016,4,3,2,101271,2,2237
1032056849,4288624624,6,5,5,209320,7,6149
1032056849,4256085712,1,1,1,5532,0,465
1032056849,4188976976,1,1,1,21353,5,1137
1032056849,3764336624,2,0,0,4330,0,479
1032056849,4290689008,11,7,7,329098,26,8193
1032056849,4185797840,2,1,0,19769,2,1201
1032056849,4293867504,8,3,2,158820,6,5533
1032056849,4269717488,8,5,1,257602,4,5453
1032056849,3763287760,1,1,0,57467,1,1209
1032056849,4287575760,3,1,1,127697,3,3899
1064357907,3345921744,34,15,4,969577,23,27635
1064357907,4180588496,39,21,8,450654,8,40346
1064357907,4179572688,430,167,181,19303231,141,473054
1064357907,4272830448,194,83,47,4369432,80,239739
1064357907,4184750032,17,4,2,59131,2,7861
1064357907,3767482320,1,1,1,10918,0,627
1064357907,4293834736,8,5,7,134014,22,8328
1064357907,4185864144,9,4,3,406660,12,9385
1064357907,4186847184,6,1,1,126133,9,4149
1064357907,4183701456,77,30,9,457232,19,55704
1064357907,4288591856,18,5,1,111060,0,14150
1064357907,4081039312,45,25,27,893408,22,31040
1064357907,4183766992,103,45,36,2294484,38,84324
1064357907,4178524112,17,5,7,726659,1,17703
1064357907,4186879952,14,10,6,448414,24,13890
1064357907,4185831376,14,6,5,226946,10,8426
1064357907,4181637072,48,24,11,885243,12,51285
1064357907,3342808880,1,0,0,47571,0,763
1064357907,4185798608,15,5,2,387665,13,12345
1064357907,4178556880,64,27,29,3804374,15,85884
1064357907,4183799760,34,15,14,828764,9,39242
1064357907,4074157872,857,378,378,17528509,212,997613
1064357907,4182685648,38,14,8,636656,14,31429
1064357907,4074747856,71,34,44,3103842,22,94721
1064357907,3330192848,43,24,14,1211942,10,46800
1064357907,4181669840,207,76,78,7342964,85,189257
1064357907,4187928528,4,1,4,112714,7,3344
1064357907,4188977104,3,2,3,77307,12,4459
1064357907,4182652880,33,17,3,216404,6,21047
1064357907,4184782800,19,10,6,338192,12,16997
1064357907,4184815568,26,12,13,722633,19,24516
1064357907,4183209936,77,37,22,426879,10,46180
1064357907,4181604304,81,26,7,969189,21,80025
1064357907,4186912720,8,1,3,334890,8,6684
1064357907,4183734224,55,24,6,696254,14,45573
1064357907,4180621264,174,75,71,5958714,49,185029
1064357907,4279186736,124,50,39,4109664,106,123743
1064357907,4181702608,198,83,110,6883422,64,212301
1064357907,4076255024,520,228,193,5690858,92,432298
1064357907,4182718416,208,77,67,5944494,74,173254
1064357907,4187895760,8,4,3,131681,9,5838
1043810323,4183799792,6,2,2,110691,1,5406
1043810323,4185896944,19,11,12,268986,1,14416
1043810323,4292753392,2,2,1,82061,5,2694
1043810323,4274927600,13,8,7,176926,14,7793
1043810323,4293867504,1,1,1,22070,2,1233
1043810323,4292786160,2,1,1,17155,0,907
1043810323,4266538992,2,1,1,38712,1,834
1043810323,4290689008,1,1,1,22479,1,847
1061290007,4188976432,2,1,2,31707,4,1081
1056071705,4079925200,16,7,1,67189,3,6536
1056071705,4279154384,2,1,1,39367,3,1985
1056071705,4258182864,3,2,2,15201,1,1694
1056071705,4281251536,4,1,2,103687,3,2565
1042024478,4289640432,1,1,0,10035,0,977
1042024478,4185896944,1,0,1,36572,1,731
1042024478,4274927600,1,0,0,13315,0,563
1042024478,4266538992,1,1,0,48296,3,1439
1042024478,4269717488,4,2,2,171805,5,3356
1000628256,4188976592,8,5,4,54912,9,4072
1000628256,4256085712,18,10,9,125227,11,8364
1000628256,4293834544,6,3,3,41435,7,3324
1000628256,4292786160,7,4,1,67032,2,2908
1000628256,4258182864,7,2,1,98487,4,3366
1000628256,4269717488,2,0,0,4686,0,405
1000628256,4293834736,20,8,7,145830,11,8646
1000628256,4290689008,5,2,2,94717,4,2110
1051105315,4292785968,1,0,0,4727,0,228
1031821353,4293867504,5,1,1,142561,8,2618
1031821353,4292786160,3,2,2,81120,8,2262
1031821353,4290689008,6,3,4,182831,5,3586
1029425205,4184815568,21,13,9,781649,13,26070
1029425205,4186912720,16,8,8,599589,20,11470
1029425205,4293834736,1,0,0,17272,3,1169
1029425205,4186879952,4,2,1,46811,3,2908
1029425205,4185864144,16,8,10,998360,38,12602
1029425205,4187928528,2,2,1,56735,4,2279
1028487224,4289640432,8,4,0,99083,1,7567
1028487224,4255037136,6,2,0,145696,2,7148
1028487224,4274927600,20,8,1,58277,2,7735
1028487224,4287543280,1,1,0,6968,0,1094
1028487224,4292786160,31,17,15,591602,34,18511
1028487224,4185831216,4,1,0,30543,1,1922
1028487224,4293834736,4,0,1,61316,10,2427
1028487224,4186847024,1,0,0,6882,0,276
1028487224,4188976592,2,1,0,17291,2,1117
1028487224,4259264496,9,7,4,241061,4,11004
1028487224,4289607664,21,8,2,264892,9,19156
1028487224,4288559088,87,38,11,839521,13,77630
1028487224,4290689008,11,8,2,102788,4,5747
1028487224,4076779504,3,0,0,43520,0,2383
1028487224,4292785968,6,2,0,41277,3,2145
1028487224,3762239472,37,14,15,744203,7,29632
1028487224,4290721776,30,10,9,726942,16,20487
1028487224,4288624624,19,11,7,382455,8,18780
1028487224,4256085712,1,1,0,12911,2,805
1028487224,3764271056,2,0,0,2616,0,895
1028487224,4266538992,12,6,1,119189,5,5768
1028487224,4293834544,11,7,6,125868,25,7432
1028487224,4187928528,4,3,3,48303,0,2373
1028487224,3765384944,12,9,5,354846,6,11987
